,n_components,perplexity
0,6,6794.4465260999505
1,8,11507.294572307168
2,10,18301.978897823254
3,12,33937.827151501646
4,14,77512.09422122681
5,16,151184.67170600206
6,18,390125.96744757576
7,20,834253.012273776
8,22,2352000.726228484
9,24,5520187.043783519
10,26,15473994.8830592
11,28,43948702.2287726
12,30,126727870.9348964
13,32,378537155.6053556
14,34,1221318647.324371
15,36,3895382215.400637
16,38,13157827270.273323
17,40,42295360243.64139
18,42,153864558385.29712
19,44,524507233817.0479
20,46,1868934361974.6008
21,48,7248607808727.646
22,50,26139741780931.527
